generation,source,target,fitness,gain
3,68,99,124.723007,-1.802246
3,32,99,124.723007,-1.802246
3,77,100,127.890961,2.055740
3,73,100,127.890961,2.055740
3,63,101,129.762833,-0.022797
3,46,101,129.762833,-0.022797
3,42,102,125.309250,-2.559967
3,73,102,125.309250,-2.559967
3,84,103,125.953049,1.654419
3,66,103,125.953049,1.654419
3,82,104,131.675720,1.482269
3,60,104,131.675720,1.482269
3,66,105,132.068085,6.183212
3,81,105,132.068085,6.183212
3,46,106,134.278641,7.742279
3,77,106,134.278641,7.742279
3,73,107,128.880005,0.272400
3,86,107,128.880005,0.272400
3,32,108,125.376526,-4.959442
3,82,108,125.376526,-4.959442
3,43,109,136.468887,5.500534
3,78,109,136.468887,5.500534
3,90,110,126.991669,1.490753
3,63,110,126.991669,1.490753
3,78,111,126.128540,-2.936707
3,71,111,126.128540,-2.936707
3,73,112,122.967415,-5.390678
3,84,112,122.967415,-5.390678
3,85,113,125.883041,-2.506927
3,71,113,125.883041,-2.506927
3,72,114,127.957840,-2.876114
3,43,114,127.957840,-2.876114
3,90,115,130.463013,8.477783
3,68,115,130.463013,8.477783
3,84,116,127.030937,-0.241570
3,83,116,127.030937,-0.241570
3,89,117,121.167656,-7.234932
3,84,117,121.167656,-7.234932
3,42,118,125.422401,-2.615044
3,71,118,125.422401,-2.615044
3,68,119,131.537399,5.825836
3,72,119,131.537399,5.825836
3,57,120,117.261765,-15.327744
3,63,120,117.261765,-15.327744
4,97,121,122.122604,-4.043259
4,113,121,122.122604,-4.043259
4,112,122,124.277809,-0.182426
4,103,122,124.277809,-0.182426
4,68,123,127.482704,5.973366
4,66,123,127.482704,5.973366
4,85,124,133.499207,6.610878
4,103,124,133.499207,6.610878
4,86,125,123.449883,-2.106667
4,68,125,123.449883,-2.106667
4,19,126,131.094376,6.749214
4,120,126,131.094376,6.749214
4,83,127,126.756065,0.877098
4,102,127,126.756065,0.877098
4,117,128,118.472313,-3.595222
4,112,128,118.472313,-3.595222
4,91,129,122.700386,-5.137138
4,96,129,122.700386,-5.137138
4,68,130,122.517738,0.000000
4,68,130,122.517738,0.000000
4,100,131,123.321999,-0.873947
4,66,131,123.321999,-0.873947
4,120,132,124.153557,4.263802
4,68,132,124.153557,4.263802
4,68,133,128.123108,5.380531
4,112,133,128.123108,5.380531
4,108,134,131.873917,5.961319
4,97,134,131.873917,5.961319
4,113,135,127.536514,1.883789
4,118,135,127.536514,1.883789
4,110,136,127.820808,3.066109
4,68,136,127.820808,3.066109
4,86,137,121.810005,-5.712013
4,83,137,121.810005,-5.712013
4,120,138,119.595116,0.380409
4,117,138,119.595116,0.380409
4,100,139,123.570793,-3.933975
4,42,139,123.570793,-3.933975
4,102,140,121.556992,-3.785896
4,108,140,121.556992,-3.785896
4,96,141,124.773811,-0.633354
4,112,141,124.773811,-0.633354
4,96,142,132.405334,3.725174
4,93,142,132.405334,3.725174
4,66,143,123.944496,3.110207
4,117,143,123.944496,3.110207
4,102,144,116.053963,-10.524124
4,96,144,116.053963,-10.524124
4,71,145,128.956329,0.000000
4,71,145,128.956329,0.000000
4,83,146,124.783569,-4.075180
4,81,146,124.783569,-4.075180
4,83,147,123.317139,1.461914
4,120,147,123.317139,1.461914
4,102,148,121.206345,-4.136543
4,108,148,121.206345,-4.136543
4,66,149,123.293739,-1.266655
4,73,149,123.293739,-1.266655
4,68,150,124.999603,0.516396
4,97,150,124.999603,0.516396
5,66,151,117.354347,-4.379829
